type,fn_type,activation,mse,random_mse,normalised_mse
interp,add,None,0.1677427440881729,158.41958618164062,0.10588510431774677
extrap,add,None,0.5253118872642517,467.7803955078125,0.11229882489923167
interp,add,NAC,0.33875030279159546,158.41958618164062,0.2138310741471016
extrap,add,NAC,1.0005426406860352,467.7803955078125,0.21389152907955178
interp,add,NALU,0.15185551345348358,158.41958618164062,0.09585652703281852
extrap,add,NALU,0.17503508925437927,467.7803955078125,0.03741821823558144
interp,add,ReLU6,31.616186141967773,158.41958618164062,19.95724575730005
extrap,add,ReLU6,200.71116638183594,467.7803955078125,42.90713512351199
interp,add,Tanh,9.157915115356445,158.41958618164062,5.780797271403151
extrap,add,Tanh,153.34881591796875,467.7803955078125,32.78222375084713
interp,add,Sigmoid,6.906088829040527,158.41958618164062,4.359365527645141
extrap,add,Sigmoid,141.61502075195312,467.7803955078125,30.27382551981873
interp,add,Softsign,8.490352630615234,158.41958618164062,5.35940841360384
extrap,add,Softsign,147.70693969726562,467.7803955078125,31.576128695371704
interp,add,SELU,1.055344581604004,158.41958618164062,0.6661705203509165
extrap,add,SELU,3.0334253311157227,467.7803955078125,0.6484720950784396
interp,add,ELU,10.306354522705078,158.41958618164062,6.505732511438342
extrap,add,ELU,158.24375915527344,467.7803955078125,33.828642815072946
interp,add,ReLU,31.590187072753906,158.41958618164062,19.940834232790667
extrap,add,ReLU,200.49449157714844,467.7803955078125,42.8608153532163
interp,sub,None,0.4143487513065338,35.169376373291016,1.1781521142388134
extrap,sub,None,1.327865719795227,47.83642578125,2.7758464352403567
interp,sub,NAC,0.16438701748847961,35.169376373291016,0.4674152186938449
extrap,sub,NAC,0.5501272082328796,47.83642578125,1.150017375354385
interp,sub,NALU,0.1487068235874176,35.169376373291016,0.4228304249953983
extrap,sub,NALU,0.46219879388809204,47.83642578125,0.9662067897833115
interp,sub,ReLU6,9.507914543151855,35.169376373291016,27.03464071194772
extrap,sub,ReLU6,26.267900466918945,47.83642578125,54.91192127739387
interp,sub,Tanh,9.31326961517334,35.169376373291016,26.481190670887745
extrap,sub,Tanh,17.420570373535156,47.83642578125,36.41695651175372
interp,sub,Sigmoid,6.198638916015625,35.169376373291016,17.625103300731574
extrap,sub,Sigmoid,14.551623344421387,47.83642578125,30.419545580106973
interp,sub,Softsign,7.494485378265381,35.169376373291016,21.309690847850753
extrap,sub,Softsign,13.910975456237793,47.83642578125,29.080298598919047
interp,sub,SELU,3.4994354248046875,35.169376373291016,9.95023450987972
extrap,sub,SELU,13.511787414550781,47.83642578125,28.245813088834222
interp,sub,ELU,1.333830714225769,35.169376373291016,3.7925913160027815
extrap,sub,ELU,4.107761859893799,47.83642578125,8.5871002960758
